,Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
0,2022,137,Afghanistan,"1,859","1,923","1,795","0,645","0,000","0,087","0,000","0,093","0,059","0,976"
1,2022,83,Albania,"5,277","5,406","5,148","1,449","0,951","0,480","0,549","0,133","0,037","1,678"
2,2022,81,Algeria,"5,329","5,451","5,207","1,353","1,298","0,409","0,252","0,073","0,152","1,791"
3,2022,52,Argentina,"6,024","6,147","5,900","1,590","1,388","0,427","0,587","0,088","0,082","1,861"
4,2022,79,Armenia,"5,342","5,470","5,213","1,466","1,134","0,443","0,551","0,053","0,160","1,534"
5,2022,12,Australia,"7,095","7,180","7,009","1,899","1,497","0,532","0,677","0,242","0,310","1,938"
6,2022,11,Austria,"7,097","7,176","7,018","1,927","1,382","0,535","0,630","0,191","0,310","2,124"
7,2022,42,Bahrain,"6,173","6,369","5,977","1,883","1,269","0,389","0,748","0,199","0,138","1,546"
8,2022,118,Bangladesh,"4,282","4,416","4,148","1,133","0,513","0,355","0,617","0,139","0,165","1,361"
9,2022,17,Belgium,"6,859","6,926","6,793","1,907","1,449","0,528","0,590","0,137","0,273","1,976"
10,2022,116,Benin,"4,374","4,504","4,244","0,924","0,242","0,124","0,481","0,114","0,253","2,235"
11,2022,69,Bolivia,"5,684","5,797","5,572","1,240","1,187","0,329","0,648","0,103","0,060","2,118"
12,2022,71,Bosnia and Herzegovina,"5,633","5,775","5,490","1,467","1,361","0,429","0,485","0,247","0,008","1,635"
13,2022,132,Botswana,"3,435","3,702","3,168","1,471","1,041","0,087","0,480","0,021","0,071","0,264"
14,2022,49,Brazil,"6,125","6,252","5,997","1,454","1,250","0,387","0,558","0,131","0,137","2,205"
15,2022,77,Bulgaria,"5,466","5,582","5,350","1,635","1,457","0,408","0,557","0,106","0,013","1,289"
16,2022,104,Burkina Faso,"4,638","4,819","4,456","0,768","0,814","0,107","0,419","0,188","0,113","2,230"
17,2022,115,Cambodia,"4,393","4,508","4,279","1,025","1,024","0,283","0,768","0,176","0,051","1,068"
18,2022,96,Cameroon,"4,973","5,112","4,834","0,965","0,871","0,118","0,405","0,144","0,059","2,411"
19,2022,13,Canada,"6,961","7,042","6,879","1,881","1,484","0,541","0,656","0,218","0,364","1,815"
20,2022,114,Chad,"4,397","4,633","4,160","0,622","0,962","0,043","0,393","0,255","0,088","2,034"
21,2022,35,Chile,"6,334","6,424","6,243","1,645","1,384","0,511","0,546","0,131","0,076","2,040"
