Country name,2019,2020,2021,2022,2023,2024
Afghanistan,0.301,0.37,0.758,0.645,0.628,1.749
Albania,0.907,1.008,1.439,1.449,1.438,1.825
Algeria,0.944,0.946,1.363,1.353,1.324,1.799
Argentina,1.028,1.162,1.592,1.59,1.562,1.783
Armenia,0.808,0.996,1.434,1.466,1.444,1.822
Australia,1.31,1.453,1.9,1.899,1.854,1.492
Austria,1.317,1.492,1.931,1.927,1.885,1.902
Bahrain,1.297,1.409,1.854,1.883,0.0,1.695
Bangladesh,0.556,0.635,1.06,1.133,1.122,2.028
Belgium,1.296,1.463,1.907,1.907,1.868,1.435
Benin,0.366,0.507,0.932,0.924,0.914,1.767
Bolivia,0.731,0.842,1.256,1.24,1.217,1.698
Bosnia and Herzegovina,0.918,1.032,1.468,1.467,1.465,1.87
Botswana,0.998,1.099,1.503,1.471,1.445,1.783
Brazil,0.953,1.028,1.462,1.454,1.43,1.988
Bulgaria,1.047,1.181,1.625,1.635,1.629,1.684
Burkina Faso,0.302,0.364,0.779,0.768,0.756,1.791
Cambodia,0.545,0.603,1.019,1.025,1.011,1.749
Cameroon,0.504,0.543,0.968,0.965,0.943,1.692
Canada,1.302,1.447,1.886,1.881,1.84,1.692
Chad,0.302,0.255,0.662,0.622,0.603,1.812
Chile,1.097,1.2,1.651,1.645,1.616,1.785
China,0.991,1.061,1.508,1.51,1.497,1.725
Colombia,0.932,1.021,1.452,1.455,1.437,1.839
Comoros,0.416,0.488,0.899,0.914,0.896,1.666
Republic of the Congo,0.634,0.518,0.95,0.921,0.892,1.554
Costa Rica,0.981,1.134,1.584,1.587,1.561,1.281
Ivory Coast,0.537,0.669,1.094,1.094,1.08,1.489
Croatia,1.109,1.251,1.705,1.727,1.71,1.743
Cyprus,1.213,1.377,1.815,1.824,1.794,1.733
Czech Republic,1.212,1.37,1.815,1.823,1.783,2.022
Denmark,1.327,1.502,1.953,1.949,1.908,1.636
Dominican Republic,0.983,1.106,1.538,1.536,1.517,1.391
Ecuador,0.853,0.935,1.352,1.343,1.315,1.222
Egypt,0.875,0.954,1.388,1.377,1.37,1.69
El Salvador,0.749,0.845,1.265,1.278,1.265,1.65
Estonia,1.192,1.344,1.793,1.798,1.752,1.724
Ethiopia,0.315,0.37,0.788,0.793,0.792,1.594
Finland,1.285,1.446,1.892,1.888,1.844,1.504
France,1.268,1.421,1.863,1.856,1.818,1.586
Gabon,0.988,1.037,1.459,1.438,1.403,1.249
The Gambia,0.257,0.367,0.785,0.761,0.75,1.537
Georgia,0.847,1.03,1.467,1.477,1.467,1.278
Germany,1.314,1.48,1.924,1.919,1.871,1.084
Ghana,0.576,0.68,1.112,1.101,1.077,1.76
Greece,1.128,1.273,1.703,1.708,1.684,1.426
Guatemala,0.754,0.845,1.274,1.287,1.26,1.629
Guinea,0.39,0.42,0.848,0.844,0.831,1.619
Honduras,0.599,0.703,1.111,1.115,1.091,1.179
Hong Kong,1.377,1.525,1.957,1.951,1.909,1.329
Hungary,1.164,1.301,1.748,1.754,1.722,1.678
Iceland,1.327,1.482,1.936,1.926,1.881,1.405
India,0.731,0.741,1.167,1.159,1.166,1.177
Indonesia,0.892,0.954,1.382,1.384,1.361,1.709
Iran,1.029,1.03,1.41,1.465,1.435,1.752
Iraq,0.982,0.91,1.289,1.281,1.249,1.646
Ireland,1.447,1.644,2.129,2.152,2.129,1.38
Israel,1.216,1.376,1.826,1.833,1.803,1.299
Italy,1.236,1.393,1.834,1.832,1.8,1.036
Jamaica,0.779,0.891,1.296,1.305,1.28,1.571
Japan,1.267,1.389,1.835,1.825,1.786,1.323
Jordan,0.785,0.89,1.324,1.292,1.262,1.63
Kazakhstan,1.123,1.23,1.668,1.664,1.622,1.72
Kenya,0.476,0.603,1.032,1.051,1.037,1.445
Kosovo,0.84,0.937,1.362,1.374,1.364,1.638
Kyrgyzstan,0.513,0.665,1.069,1.061,1.054,1.507
Laos,0.715,0.808,1.239,1.232,1.208,1.644
Latvia,1.141,1.285,1.732,1.737,1.7,1.182
Lebanon,0.889,1.045,1.392,1.417,1.377,1.173
