Country name,2019,2020,2021,2022,2023,2024
Afghanistan,0.266,0.126,0.289,0.087,0.242,0.824
Albania,0.846,0.646,0.719,0.48,0.638,0.82
Algeria,0.745,0.552,0.643,0.409,0.568,0.873
Argentina,0.85,0.646,0.662,0.427,0.585,0.889
Armenia,0.776,0.585,0.668,0.443,0.603,0.844
Australia,1.023,0.801,0.772,0.532,0.692,0.68
Austria,1.001,0.782,0.774,0.535,0.696,0.863
Bahrain,0.839,0.662,0.625,0.389,0.0,0.824
Bangladesh,0.695,0.514,0.581,0.355,0.513,0.864
Belgium,0.965,0.747,0.764,0.528,0.69,0.55
Benin,0.328,0.196,0.335,0.124,0.284,0.841
Bolivia,0.662,0.486,0.555,0.329,0.488,0.815
Bosnia and Herzegovina,0.814,0.618,0.665,0.429,0.587,0.883
Botswana,0.494,0.34,0.28,0.087,0.241,0.852
Brazil,0.766,0.571,0.615,0.387,0.548,0.823
Bulgaria,0.778,0.583,0.64,0.408,0.567,0.592
Burkina Faso,0.313,0.179,0.32,0.107,0.274,0.814
Cambodia,0.588,0.426,0.505,0.283,0.442,0.832
Cameroon,0.27,0.159,0.317,0.118,0.288,0.802
Canada,1.023,0.798,0.783,0.541,0.701,0.658
Chad,0.109,0.0,0.225,0.043,0.199,0.659
Chile,0.889,0.678,0.748,0.511,0.673,0.776
China,0.867,0.665,0.705,0.468,0.629,0.779
Colombia,0.81,0.615,0.72,0.486,0.648,0.604
Comoros,0.437,0.279,0.424,0.215,0.37,0.63
Republic of the Congo,0.458,0.307,0.355,0.145,0.306,0.523
Costa Rica,0.94,0.722,0.744,0.503,0.661,0.896
Ivory Coast,0.155,0.052,0.322,0.12,0.288,0.545
Croatia,0.901,0.703,0.709,0.475,0.637,0.714
Cyprus,1.026,0.801,0.819,0.58,0.744,0.832
Czech Republic,0.895,0.703,0.715,0.477,0.638,0.935
Denmark,0.979,0.763,0.777,0.537,0.699,0.561
Dominican Republic,0.742,0.555,0.577,0.351,0.511,0.48
Ecuador,0.839,0.64,0.708,0.476,0.64,0.559
Egypt,0.597,0.426,0.548,0.326,0.488,0.894
El Salvador,0.753,0.565,0.607,0.383,0.549,0.642
Estonia,0.843,0.64,0.728,0.494,0.657,0.852
Ethiopia,0.484,0.331,0.457,0.25,0.42,0.717
Finland,0.961,0.741,0.775,0.535,0.695,0.579
France,1.03,0.804,0.808,0.566,0.727,0.504
Gabon,0.523,0.362,0.396,0.183,0.344,0.376
The Gambia,0.353,0.21,0.369,0.174,0.33,0.711
Georgia,0.695,0.498,0.595,0.366,0.524,0.631
Germany,0.972,0.757,0.776,0.539,0.702,0.646
Ghana,0.432,0.287,0.409,0.197,0.36,0.837
Greece,0.979,0.76,0.774,0.535,0.696,0.633
Guatemala,0.706,0.519,0.522,0.31,0.467,0.547
Guinea,0.334,0.206,0.275,0.072,0.236,0.503
Honduras,0.792,0.593,0.555,0.341,0.502,0.654
Hong Kong,1.137,0.893,0.942,0.702,0.857,0.291
Hungary,0.807,0.615,0.668,0.435,0.596,0.921
