Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2020,150,Afghanistan,"2,523","2,596","2,449","0,370","0,000","0,126","0,000","0,122","0,010","1,895"
2020,94,Albania,"5,117","5,234","5,001","1,008","0,529","0,646","0,491","0,168","0,024","2,250"
2020,110,Algeria,"4,887","4,991","4,783","0,946","0,765","0,552","0,119","0,144","0,120","2,242"
2020,58,Argentina,"5,929","6,040","5,819","1,162","0,980","0,646","0,544","0,069","0,067","2,461"
2020,87,Armenia,"5,283","5,397","5,168","0,996","0,758","0,585","0,540","0,079","0,198","2,127"
2020,12,Australia,"7,183","7,265","7,102","1,453","1,076","0,801","0,647","0,291","0,317","2,598"
2020,11,Austria,"7,268","7,337","7,198","1,492","1,062","0,782","0,640","0,215","0,292","2,784"
2020,91,Azerbaijan,"5,171","5,250","5,091","1,025","0,841","0,541","0,526","0,043","0,276","1,919"
2020,23,Bahrain,"6,647","6,779","6,514","1,409","0,899","0,662","0,661","0,246","0,139","2,631"
2020,102,Bangladesh,"5,025","5,115","4,934","0,635","0,520","0,514","0,603","0,161","0,164","2,427"
2020,76,Belarus,"5,534","5,625","5,442","1,124","1,007","0,560","0,326","0,070","0,199","2,247"
2020,21,Belgium,"6,834","6,901","6,767","1,463","0,998","0,747","0,489","0,088","0,187","2,862"
2020,100,Benin,"5,045","5,189","4,901","0,507","0,058","0,196","0,457","0,166","0,178","3,482"
2020,70,Bolivia,"5,716","5,819","5,613","0,842","0,782","0,486","0,600","0,138","0,064","2,805"
2020,65,Bosnia and Herzegovina,"5,813","5,911","5,715","1,032","0,919","0,618","0,395","0,261","0,005","2,583"
2020,147,Botswana,"3,467","3,611","3,322","1,099","0,724","0,340","0,539","0,027","0,088","0,648"
2020,36,Brazil,"6,330","6,415","6,245","1,028","0,944","0,571","0,514","0,142","0,117","3,015"
2020,89,Bulgaria,"5,266","5,371","5,160","1,181","1,055","0,583","0,494","0,125","0,005","1,823"
2020,114,Burkina Faso,"4,834","4,993","4,675","0,364","0,472","0,179","0,381","0,182","0,122","3,133"
2020,141,Burundi,"3,775","3,985","3,565","0,000","0,062","0,155","0,298","0,172","0,212","2,876"
2020,115,Cambodia,"4,830","4,963","4,698","0,603","0,680","0,426","0,702","0,210","0,061","2,148"
2020,92,Cameroon,"5,142","5,288","4,996","0,543","0,556","0,159","0,425","0,205","0,058","3,195"
2020,15,Canada,"7,103","7,185","7,021","1,447","1,044","0,798","0,648","0,246","0,335","2,585"
2020,129,Chad,"4,355","4,540","4,171","0,255","0,353","0,000","0,240","0,215","0,084","3,209"
2020,44,Chile,"6,172","6,262","6,081","1,200","0,946","0,678","0,438","0,159","0,070","2,682"
2020,85,China,"5,339","5,397","5,281","1,061","0,785","0,665","0,636","0,093","0,117","1,982"
2020,53,Colombia,"6,012","6,132","5,892","1,021","0,866","0,615","0,554","0,100","0,063","2,794"
2020,132,Comoros,"4,289","4,454","4,123","0,488","0,367","0,279","0,202","0,241","0,101","2,610"
2020,84,Republic of the Congo,"5,342","5,533","5,151","0,518","0,392","0,307","0,381","0,144","0,124","3,476"
2020,17,Costa Rica,"7,069","7,179","6,960","1,134","0,966","0,722","0,673","0,105","0,083","3,387"
2020,86,Ivory Coast,"5,306","5,460","5,152","0,669","0,409","0,052","0,438","0,177","0,092","3,469"
2020,61,Croatia,"5,882","5,975","5,788","1,251","1,039","0,703","0,453","0,111","0,000","2,325"
2020,40,Cyprus,"6,223","6,319","6,128","1,377","0,765","0,801","0,464","0,178","0,061","2,578"
2020,19,Czech Republic,"6,965","7,062","6,868","1,370","1,090","0,703","0,580","0,052","0,046","3,124"
2020,3,Denmark,"7,620","7,687","7,552","1,502","1,108","0,763","0,686","0,208","0,485","2,868"
2020,74,Dominican Republic,"5,545","5,685","5,405","1,106","0,879","0,555","0,581","0,101","0,144","2,178"
2020,67,Ecuador,"5,764","5,875","5,653","0,935","0,806","0,640","0,560","0,107","0,062","2,653"
2020,133,Egypt,"4,283","4,371","4,195","0,954","0,647","0,426","0,446","0,069","0,092","1,648"
2020,50,El Salvador,"6,061","6,188","5,933","0,845","0,675","0,565","0,615","0,116","0,160","3,085"
2020,41,Estonia,"6,189","6,263","6,115","1,344","1,079","0,640","0,641","0,119","0,263","2,103"
2020,134,Ethiopia,"4,275","4,374","4,175","0,370","0,679","0,331","0,451","0,241","0,114","2,089"
2020,2,Finland,"7,842","7,904","7,780","1,446","1,106","0,741","0,691","0,124","0,481","3,253"
2020,22,France,"6,690","6,762","6,618","1,421","1,081","0,804","0,536","0,092","0,235","2,521"
2020,113,Gabon,"4,852","4,998","4,706","1,037","0,707","0,362","0,424","0,058","0,064","2,201"
2020,99,The Gambia,"5,051","5,225","4,877","0,367","0,511","0,210","0,384","0,465","0,123","2,990"
2020,109,Georgia,"4,891","4,998","4,785","1,030","0,470","0,498","0,488","0,032","0,181","2,191"
2020,14,Germany,"7,155","7,232","7,077","1,480","0,993","0,757","0,600","0,195","0,306","2,824"
2020,96,Ghana,"5,088","5,219","4,958","0,680","0,595","0,287","0,517","0,268","0,058","2,684"
2020,69,Greece,"5,723","5,813","5,632","1,273","0,811","0,760","0,243","0,000","0,074","2,561"
2020,31,Guatemala,"6,435","6,577","6,292","0,845","0,790","0,519","0,638","0,163","0,105","3,375"
2020,103,Guinea,"4,984","5,160","4,808","0,420","0,399","0,206","0,384","0,250","0,111","3,216"
2020,144,Haiti,"3,615","3,953","3,276","0,294","0,173","0,227","0,257","0,463","0,139","2,060"
2020,60,Honduras,"5,919","6,081","5,758","0,703","0,787","0,593","0,578","0,241","0,083","2,934"
2020,78,Hong Kong,"5,477","5,573","5,380","1,525","0,841","0,893","0,408","0,232","0,342","1,236"
2020,54,Hungary,"5,992","6,085","5,899","1,301","1,083","0,615","0,454","0,067","0,040","2,432"
2020,5,Iceland,"7,554","7,670","7,438","1,482","1,172","0,772","0,698","0,293","0,170","2,967"
2020,140,India,"3,819","3,869","3,769","0,741","0,316","0,383","0,622","0,246","0,106","1,405"
2020,83,Indonesia,"5,345","5,454","5,235","0,954","0,786","0,433","0,598","0,541","0,046","1,987"
2020,119,Iran,"4,721","4,828","4,614","1,030","0,557","0,561","0,275","0,330","0,144","1,823"
2020,112,Iraq,"4,854","4,970","4,738","0,910","0,638","0,381","0,302","0,153","0,041","2,429"
2020,16,Ireland,"7,085","7,164","7,006","1,644","1,092","0,753","0,606","0,238","0,367","2,384"
2020,13,Israel,"7,157","7,224","7,090","1,376","1,074","0,788","0,509","0,208","0,119","3,083"
2020,29,Italy,"6,483","6,572","6,395","1,393","0,940","0,798","0,379","0,133","0,047","2,794"
2020,38,Jamaica,"6,309","6,615","6,004","0,891","0,932","0,599","0,618","0,099","0,035","3,135"
2020,57,Japan,"5,940","6,020","5,861","1,389","0,949","0,838","0,504","0,020","0,192","2,048"
2020,128,Jordan,"4,395","4,516","4,273","0,890","0,685","0,583","0,455","0,079","0,150","1,553"
2020,46,Kazakhstan,"6,152","6,243","6,060","1,230","1,103","0,527","0,573","0,143","0,132","2,446"
2020,122,Kenya,"4,607","4,747","4,466","0,603","0,508","0,385","0,483","0,375","0,073","2,180"
2020,34,Kosovo,"6,372","6,487","6,257","0,937","0,807","0,483","0,593","0,356","0,014","3,182"
2020,48,Kuwait,"6,106","6,235","5,977","1,461","0,857","0,580","0,591","0,120","0,130","2,368"
2020,68,Kyrgyzstan,"5,744","5,834","5,653","0,665","0,971","0,501","0,673","0,266","0,020","2,648"
2020,101,Laos,"5,030","5,119","4,941","0,808","0,598","0,330","0,643","0,268","0,179","2,204"
2020,52,Latvia,"6,032","6,103","5,961","1,285","1,047","0,587","0,405","0,082","0,089","2,536"
2020,124,Lebanon,"4,584","4,691","4,477","1,045","0,868","0,595","0,175","0,140","0,026","1,736"
2020,146,Lesotho,"3,512","3,748","3,276","0,451","0,731","0,007","0,405","0,103","0,015","1,800"
2020,121,Liberia,"4,625","4,833","4,417","0,228","0,580","0,253","0,430","0,221","0,057","2,857"
2020,81,Libya,"5,410","5,558","5,262","1,044","0,821","0,435","0,474","0,131","0,174","2,331"
2020,39,Lithuania,"6,255","6,344","6,167","1,350","1,065","0,612","0,476","0,056","0,073","2,624"
2020,9,Luxembourg,"7,324","7,396","7,252","1,751","1,003","0,760","0,639","0,166","0,353","2,653"
2020,136,Madagascar,"4,208","4,349","4,068","0,266","0,503","0,341","0,207","0,185","0,087","2,620"
2020,145,Malawi,"3,600","3,781","3,419","0,113","0,168","0,298","0,484","0,213","0,134","2,190"
2020,82,Malaysia,"5,384","5,480","5,289","1,259","0,797","0,587","0,624","0,270","0,064","1,784"
2020,90,Maldives,"5,198","5,339","5,057","1,115","1,015","0,697","0,575","0,204","0,073","1,520"
2020,118,Mali,"4,723","4,884","4,563","0,387","0,590","0,110","0,384","0,164","0,072","3,016"
2020,24,Malta,"6,602","6,688","6,516","1,411","1,055","0,747","0,664","0,275","0,183","2,268"
2020,135,Mauritania,"4,227","4,365","4,090","0,666","0,749","0,273","0,218","0,119","0,133","2,069"
2020,51,Mauritius,"6,049","6,165","5,933","1,178","0,996","0,574","0,590","0,153","0,096","2,462"
2020,37,Mexico,"6,317","6,420","6,213","1,126","0,830","0,634","0,585","0,092","0,089","2,961"
2020,71,Mongolia,"5,677","5,760","5,595","0,966","1,065","0,442","0,397","0,263","0,053","2,492"
2020,73,Montenegro,"5,581","5,686","5,475","1,155","0,891","0,637","0,397","0,166","0,081","2,254"
2020,107,Morocco,"4,918","5,036","4,800","0,792","0,219","0,558","0,477","0,034","0,088","2,749"
2020,116,Mozambique,"4,794","4,997","4,592","0,183","0,634","0,196","0,608","0,228","0,163","2,783"
2020,127,Myanmar,"4,426","4,527","4,324","0,666","0,713","0,341","0,601","0,520","0,178","1,407"
2020,125,Namibia,"4,574","4,700","4,448","0,882","0,801","0,262","0,411","0,091","0,059","2,068"
2020,88,Nepal,"5,269","5,406","5,132","0,519","0,702","0,496","0,488","0,287","0,135","2,642"
2020,6,Netherlands,"7,464","7,518","7,410","1,501","1,079","0,753","0,647","0,302","0,384","2,798"
2020,10,New Zealand,"7,277","7,355","7,198","1,400","1,094","0,785","0,665","0,276","0,445","2,612"
2020,56,Nicaragua,"5,972","6,134","5,810","0,693","0,904","0,604","0,553","0,201","0,176","2,841"
2020,97,Niger,"5,074","5,273","4,875","0,162","0,402","0,167","0,516","0,200","0,157","3,470"
2020,117,Nigeria,"4,759","4,861","4,658","0,663","0,625","0,051","0,433","0,212","0,039","2,736"
2020,95,North Macedonia,"5,101","5,202","5,001","1,068","0,772","0,535","0,450","0,212","0,022","2,042"
2020,7,Norway,"7,392","7,462","7,323","1,543","1,108","0,782","0,703","0,249","0,427","2,580"
2020,106,Pakistan,"4,934","5,066","4,802","0,637","0,423","0,322","0,418","0,252","0,097","2,784"
2020,42,Panama,"6,180","6,323","6,036","1,298","0,976","0,667","0,596","0,079","0,053","2,509"
2020,72,Paraguay,"5,653","5,832","5,473","0,983","0,970","0,549","0,602","0,206","0,037","2,306"
2020,64,Peru,"5,840","5,988","5,692","0,986","0,833","0,623","0,536","0,087","0,031","2,744"
2020,62,Philippines,"5,880","5,982","5,778","0,853","0,828","0,426","0,651","0,125","0,126","2,872"
2020,45,Poland,"6,166","6,245","6,087","1,309","0,982","0,668","0,558","0,080","0,130","2,438"
2020,59,Portugal,"5,929","6,037","5,821","1,323","0,939","0,760","0,621","0,029","0,033","2,225"
2020,63,South Korea,"5,845","5,928","5,763","1,403","0,758","0,801","0,353","0,134","0,135","2,262"
2020,66,Moldova,"5,766","5,856","5,677","0,985","0,888","0,542","0,536","0,137","0,013","2,665"
2020,47,Romania,"6,140","6,253","6,027","1,275","0,832","0,595","0,564","0,045","0,001","2,830"
2020,77,Russia,"5,477","5,541","5,413","1,241","0,992","0,511","0,409","0,115","0,060","2,148"
2020,148,Rwanda,"3,415","3,548","3,282","0,364","0,202","0,407","0,627","0,227","0,493","1,095"
2020,27,Saudi Arabia,"6,494","6,604","6,384","1,435","0,964","0,571","0,603","0,090","0,163","2,668"
2020,93,Senegal,"5,132","5,266","4,998","0,518","0,558","0,357","0,381","0,158","0,088","3,071"
2020,49,Serbia,"6,078","6,181","5,974","1,101","0,924","0,634","0,482","0,189","0,066","2,682"
2020,139,Sierra Leone,"3,849","4,001","3,698","0,279","0,377","0,100","0,408","0,243","0,047","2,396"
2020,33,Singapore,"6,377","6,460","6,293","1,695","1,019","0,897","0,664","0,176","0,547","1,379"
2020,35,Slovakia,"6,331","6,411","6,251","1,304","1,066","0,653","0,468","0,107","0,018","2,714"
2020,30,Slovenia,"6,461","6,546","6,376","1,360","1,093","0,722","0,690","0,122","0,085","2,388"
2020,104,South Africa,"4,956","5,074","4,839","0,967","0,895","0,265","0,447","0,144","0,051","2,187"
2020,28,Spain,"6,491","6,574","6,408","1,375","1,057","0,826","0,462","0,135","0,124","2,513"
2020,130,Sri Lanka,"4,325","4,454","4,196","0,990","0,820","0,593","0,559","0,239","0,049","1,075"
2020,126,Palestine,"4,517","4,649","4,384","0,646","0,819","0,434","0,330","0,082","0,075","2,131"
2020,131,Eswatini,"4,308","4,448","4,168","0,849","0,693","0,074","0,323","0,067","0,147","2,155"
2020,8,Sweden,"7,363","7,433","7,293","1,478","1,062","0,763","0,685","0,244","0,448","2,683"
2020,4,Switzerland,"7,571","7,643","7,500","1,566","1,079","0,816","0,653","0,204","0,413","2,839"
2020,79,Tajikistan,"5,466","5,532","5,400","0,508","0,895","0,498","0,548","0,152","0,247","2,619"
2020,143,Tanzania,"3,623","3,762","3,485","0,433","0,540","0,300","0,549","0,307","0,231","1,263"
2020,55,Thailand,"5,985","6,077","5,893","1,107","0,957","0,596","0,611","0,375","0,028","2,309"
2020,137,Togo,"4,107","4,258","3,956","0,254","0,239","0,203","0,289","0,209","0,107","2,806"
2020,123,Tunisia,"4,596","4,709","4,484","0,919","0,515","0,590","0,334","0,057","0,044","2,138"
2020,105,Turkey,"4,948","5,038","4,857","1,260","0,809","0,590","0,236","0,097","0,104","1,852"
2020,98,Turkmenistan,"5,066","5,136","4,996","1,046","1,172","0,439","0,602","0,366","0,033","1,409"
2020,120,Uganda,"4,636","4,780","4,493","0,364","0,718","0,240","0,398","0,267","0,054","2,596"
2020,111,Ukraine,"4,875","4,977","4,773","0,979","0,958","0,517","0,417","0,181","0,010","1,813"
2020,26,United Arab Emirates,"6,561","6,637","6,484","1,555","0,860","0,594","0,670","0,236","0,223","2,422"
2020,18,United Kingdom,"7,064","7,138","6,990","1,423","1,062","0,757","0,580","0,340","0,306","2,596"
2020,20,United States of America,"6,951","7,047","6,856","1,533","1,030","0,621","0,554","0,252","0,154","2,807"
2020,32,Uruguay,"6,431","6,521","6,341","1,164","1,042","0,649","0,625","0,128","0,223","2,600"
2020,43,Uzbekistan,"6,179","6,312","6,045","0,769","1,027","0,528","0,716","0,391","0,271","2,477"
2020,108,Venezuela,"4,892","5,017","4,767","0,852","0,897","0,574","0,284","0,078","0,072","2,135"
2020,80,Vietnam,"5,411","5,488","5,334","0,817","0,873","0,616","0,679","0,124","0,091","2,211"
2020,142,Yemen,"3,658","3,794","3,521","0,329","0,831","0,272","0,268","0,092","0,089","1,776"
2020,138,Zambia,"4,073","4,209","3,938","0,528","0,552","0,231","0,487","0,227","0,074","1,975"
2020,149,Zimbabwe,"3,145","3,259","3,030","0,457","0,649","0,243","0,359","0,157","0,075","1,205"
