Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2021,146,Afghanistan,"2,404","2,469","2,339","0,758","0,000","0,289","0,000","0,089","0,005","1,263"
2021,90,Albania,"5,199","5,321","5,076","1,439","0,646","0,719","0,511","0,138","0,028","1,718"
2021,96,Algeria,"5,122","5,215","5,030","1,363","0,970","0,643","0,146","0,106","0,150","1,744"
2021,57,Argentina,"5,967","6,090","5,844","1,592","1,102","0,662","0,555","0,081","0,085","1,891"
2021,82,Armenia,"5,399","5,519","5,278","1,434","0,820","0,668","0,558","0,054","0,210","1,654"
2021,12,Australia,"7,162","7,244","7,081","1,900","1,203","0,772","0,676","0,258","0,341","2,011"
2021,11,Austria,"7,163","7,237","7,089","1,931","1,165","0,774","0,623","0,193","0,329","2,148"
2021,92,Azerbaijan,"5,173","5,265","5,082","1,458","1,093","0,560","0,601","0,023","0,341","1,098"
2021,21,Bahrain,"6,647","6,779","6,514","1,854","1,029","0,625","0,693","0,199","0,155","2,092"
2021,94,Bangladesh,"5,155","5,262","5,049","1,060","0,614","0,581","0,622","0,125","0,187","1,967"
2021,65,Belarus,"5,821","5,950","5,693","1,562","1,157","0,629","0,342","0,040","0,282","1,811"
2021,19,Belgium,"6,805","6,890","6,720","1,907","1,106","0,764","0,492","0,049","0,204","2,283"
2021,115,Benin,"4,623","4,754","4,492","0,932","0,064","0,335","0,479","0,127","0,230","2,458"
2021,71,Bolivia,"5,600","5,709","5,491","1,256","0,880","0,555","0,627","0,112","0,064","2,107"
2021,67,Bosnia and Herzegovina,"5,768","5,877","5,659","1,468","1,068","0,665","0,448","0,244","0,006","1,869"
2021,142,Botswana,"3,471","3,667","3,275","1,503","0,815","0,280","0,571","0,012","0,102","0,187"
2021,38,Brazil,"6,293","6,384","6,202","1,462","1,044","0,615","0,546","0,131","0,134","2,361"
2021,85,Bulgaria,"5,371","5,485","5,257","1,625","1,163","0,640","0,563","0,123","0,021","1,235"
2021,113,Burkina Faso,"4,670","4,814","4,527","0,779","0,565","0,320","0,382","0,186","0,126","2,313"
2021,114,Cambodia,"4,640","4,765","4,516","1,019","0,732","0,505","0,740","0,166","0,068","1,410"
2021,102,Cameroon,"5,048","5,188","4,907","0,968","0,672","0,317","0,397","0,152","0,074","2,469"
2021,15,Canada,"7,025","7,107","6,943","1,886","1,188","0,783","0,659","0,217","0,368","1,924"
2021,130,Chad,"4,251","4,503","3,999","0,662","0,506","0,225","0,180","0,182","0,077","2,419"
2021,44,Chile,"6,172","6,262","6,082","1,651","1,080","0,748","0,460","0,124","0,069","2,040"
2021,72,China,"5,585","5,650","5,520","1,508","0,958","0,705","0,656","0,099","0,142","1,516"
2021,66,Colombia,"5,781","5,903","5,659","1,452","0,929","0,720","0,545","0,087","0,077","1,971"
2021,116,Comoros,"4,609","4,849","4,368","0,899","0,476","0,424","0,185","0,195","0,125","2,304"
2021,99,Congo,"5,075","5,235","4,915","0,950","0,405","0,355","0,431","0,130","0,146","2,658"
2021,23,Costa Rica,"6,582","6,683","6,481","1,584","1,054","0,744","0,661","0,089","0,102","2,346"
2021,88,Côte d’Ivoire,"5,235","5,384","5,085","1,094","0,442","0,322","0,451","0,149","0,124","2,652"
2021,47,Croatia,"6,125","6,229","6,022","1,705","1,183","0,709","0,535","0,109","0,000","1,884"
2021,41,Cyprus,"6,221","6,320","6,122","1,815","0,909","0,819","0,448","0,123","0,062","2,044"
2021,18,Czechia,"6,920","7,029","6,811","1,815","1,260","0,715","0,660","0,158","0,048","2,263"
2021,2,Denmark,"7,636","7,710","7,563","1,953","1,243","0,777","0,719","0,188","0,532","2,226"
2021,69,Dominican Republic,"5,737","5,873","5,601","1,538","1,003","0,577","0,606","0,084","0,179","1,751"
2021,76,Ecuador,"5,533","5,653","5,414","1,352","0,879","0,708","0,565","0,080","0,083","1,866"
2021,129,Egypt,"4,288","4,377","4,198","1,388","0,732","0,548","0,469","0,041","0,254","0,856"
2021,49,El Salvador,"6,120","6,250","5,990","1,265","0,768","0,607","0,666","0,089","0,212","2,514"
2021,36,Estonia,"6,341","6,415","6,266","1,793","1,232","0,728","0,689","0,123","0,333","1,442"
2021,125,Eswatini,"4,396","4,607","4,185","1,274","0,786","0,197","0,259","0,038","0,154","1,688"
2021,131,Ethiopia,"4,241","4,365","4,118","0,788","0,809","0,457","0,472","0,205","0,136","1,375"
2021,1,Finland,"7,821","7,886","7,756","1,892","1,258","0,775","0,736","0,109","0,534","2,518"
2021,20,France,"6,687","6,758","6,615","1,863","1,219","0,808","0,567","0,070","0,266","1,895"
2021,106,Gabon,"4,958","5,091","4,826","1,459","0,738","0,396","0,343","0,032","0,099","1,892"
2021,93,Gambia,"5,164","5,409","4,918","0,785","0,621","0,369","0,367","0,388","0,103","2,531"
2021,105,Georgia,"4,973","5,079","4,867","1,467","0,612","0,595","0,508","0,000","0,208","1,583"
