Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2019,153,Afghanistan,"2,567","2,628","2,506","0,301","0,356","0,266","0,000","0,135","0,001","1,507"
2019,105,Albania,"4,883","4,993","4,773","0,907","0,830","0,846","0,462","0,171","0,025","1,641"
2019,100,Algeria,"5,005","5,092","4,918","0,944","1,143","0,745","0,084","0,119","0,129","1,841"
2019,55,Argentina,"5,975","6,079","5,870","1,028","1,373","0,850","0,521","0,070","0,060","2,073"
2019,116,Armenia,"4,677","4,792","4,562","0,808","1,035","0,776","0,378","0,107","0,105","1,468"
2019,12,Australia,"7,223","7,305","7,141","1,310","1,477","1,023","0,622","0,325","0,336","2,130"
2019,9,Austria,"7,294","7,360","7,229","1,317","1,437","1,001","0,603","0,256","0,281","2,398"
2019,40,Bahrain,"6,227","6,388","6,067","1,297","1,315","0,839","0,610","0,287","0,127","1,752"
2019,107,Bangladesh,"4,833","4,911","4,754","0,556","0,869","0,695","0,604","0,177","0,177","1,755"
2019,20,Belgium,"6,864","6,931","6,796","1,296","1,399","0,965","0,500","0,147","0,209","2,349"
2019,86,Benin,"5,216","5,368","5,064","0,366","0,352","0,328","0,406","0,197","0,126","3,441"
2019,65,Bolivia,"5,747","5,847","5,648","0,731","1,142","0,662","0,574","0,138","0,073","2,426"
2019,69,Bosnia and Herzegovina,"5,674","5,765","5,583","0,918","1,204","0,814","0,305","0,264","0,001","2,167"
2019,147,Botswana,"3,479","3,598","3,360","0,998","1,086","0,494","0,509","0,033","0,102","0,257"
2019,32,Brazil,"6,376","6,456","6,296","0,953","1,363","0,766","0,483","0,132","0,107","2,572"
2019,96,Bulgaria,"5,102","5,188","5,015","1,047","1,461","0,778","0,418","0,104","0,000","1,295"
2019,112,Burkina Faso,"4,769","4,890","4,647","0,302","0,929","0,313","0,322","0,186","0,126","2,589"
2019,106,Cambodia,"4,848","4,962","4,735","0,545","1,071","0,588","0,675","0,233","0,073","1,663"
2019,98,Cameroon,"5,085","5,217","4,953","0,504","0,900","0,270","0,439","0,198","0,054","2,719"
2019,11,Canada,"7,232","7,311","7,153","1,302","1,435","1,023","0,644","0,282","0,352","2,195"
2019,127,Chad,"4,423","4,570","4,275","0,302","0,739","0,109","0,229","0,211","0,086","2,747"
2019,39,Chile,"6,228","6,318","6,139","1,097","1,323","0,889","0,417","0,156","0,063","2,283"
2019,94,China,"5,124","5,175","5,073","0,991","1,132","0,867","0,602","0,079","0,117","1,336"
2019,44,Colombia,"6,163","6,274","6,053","0,932","1,334","0,810","0,527","0,092","0,046","2,422"
2019,134,Comoros,"4,289","4,454","4,123","0,416","0,723","0,437","0,181","0,259","0,100","2,173"
2019,88,Republic of the Congo,"5,194","5,345","5,043","0,634","0,758","0,458","0,387","0,117","0,119","2,723"
2019,15,Costa Rica,"7,121","7,209","7,034","0,981","1,375","0,940","0,645","0,131","0,096","2,953"
2019,85,Ivory Coast,"5,233","5,377","5,090","0,537","0,800","0,155","0,397","0,170","0,093","3,081"
2019,79,Croatia,"5,505","5,579","5,431","1,109","1,311","0,901","0,381","0,114","0,012","1,676"
2019,45,Cyprus,"6,159","6,258","6,060","1,213","1,149","1,026","0,459","0,228","0,051","2,032"
2019,19,Czech Republic,"6,911","6,995","6,827","1,212","1,405","0,895","0,506","0,046","0,050","2,797"
2019,2,Denmark,"7,646","7,711","7,580","1,327","1,503","0,979","0,665","0,243","0,495","2,433"
2019,68,Dominican Republic,"5,689","5,826","5,552","0,983","1,329","0,742","0,563","0,112","0,116","1,844"
2019,58,Ecuador,"5,925","6,029","5,822","0,853","1,221","0,839","0,555","0,115","0,087","2,255"
2019,138,Egypt,"4,151","4,222","4,081","0,875","0,983","0,597","0,374","0,069","0,095","1,159"
2019,34,El Salvador,"6,348","6,462","6,234","0,749","1,149","0,753","0,524","0,119","0,117","2,937"
2019,51,Estonia,"6,022","6,092","5,951","1,192","1,453","0,843","0,577","0,125","0,202","1,630"
2019,136,Ethiopia,"4,186","4,262","4,110","0,315","1,001","0,484","0,413","0,228","0,117","1,628"
2019,1,Finland,"7,809","7,870","7,748","1,285","1,500","0,961","0,662","0,160","0,478","2,763"
2019,23,France,"6,664","6,737","6,590","1,268","1,459","1,030","0,514","0,113","0,227","2,053"
2019,108,Gabon,"4,829","4,947","4,711","0,988","1,106","0,523","0,369","0,052","0,056","1,735"
2019,113,The Gambia,"4,751","4,882","4,619","0,257","0,883","0,353","0,403","0,426","0,158","2,270"
2019,117,Georgia,"4,673","4,758","4,588","0,847","0,731","0,695","0,485","0,048","0,174","1,692"
2019,17,Germany,"7,076","7,146","7,006","1,314","1,369","0,972","0,564","0,252","0,309","2,295"
2019,91,Ghana,"5,148","5,263","5,033","0,576","0,966","0,432","0,477","0,261","0,057","2,378"
2019,77,Greece,"5,515","5,607","5,423","1,128","1,169","0,979","0,174","0,000","0,049","2,016"
2019,29,Guatemala,"6,399","6,513","6,284","0,754","1,174","0,706","0,613","0,171","0,098","2,883"
2019,102,Guinea,"4,949","5,092","4,806","0,390","0,751","0,334","0,372","0,249","0,112","2,741"
