Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2019,32,Brazil,6.376,6.456,6.296,0.953,1.363,0.766,0.483,0.132,0.107,2.572
2019,94,China,5.124,5.175,5.073,0.991,1.132,0.867,0.602,0.079,0.117,1.336
2019,118,Iran,4.672,4.782,4.563,1.029,0.886,0.749,0.301,0.277,0.143,1.287
2019,14,Israel,7.129,7.212,7.045,1.216,1.403,1.008,0.421,0.267,0.1,2.713
2019,73,Russia,5.546,5.624,5.468,1.127,1.379,0.68,0.399,0.099,0.046,1.816
2019,123,Ukraine,4.561,4.658,4.463,0.78,1.321,0.699,0.319,0.179,0.01,1.253
2019,18,United States of America,6.94,7.032,6.847,1.374,1.405,0.832,0.535,0.298,0.152,2.344
2020,36,Brazil,6.33,6.415,6.245,1.028,0.944,0.571,0.514,0.142,0.117,3.015
2020,85,China,5.339,5.397,5.281,1.061,0.785,0.665,0.636,0.093,0.117,1.982
2020,119,Iran,4.721,4.828,4.614,1.03,0.557,0.561,0.275,0.33,0.144,1.823
2020,13,Israel,7.157,7.224,7.09,1.376,1.074,0.788,0.509,0.208,0.119,3.083
2020,77,Russia,5.477,5.541,5.413,1.241,0.992,0.511,0.409,0.115,0.06,2.148
2020,111,Ukraine,4.875,4.977,4.773,0.979,0.958,0.517,0.417,0.181,0.01,1.813
2020,20,United States of America,6.951,7.047,6.856,1.533,1.03,0.621,0.554,0.252,0.154,2.807
2021,38,Brazil,6.293,6.384,6.202,1.462,1.044,0.615,0.546,0.131,0.134,2.361
2021,72,China,5.585,5.65,5.52,1.508,0.958,0.705,0.656,0.099,0.142,1.516
2021,110,Iran,4.888,4.995,4.78,1.41,0.741,0.642,0.281,0.241,0.146,1.427
2021,9,Israel,7.364,7.426,7.301,1.826,1.221,0.818,0.568,0.155,0.143,2.634
2021,80,Russia,5.459,5.525,5.392,1.685,1.095,0.586,0.401,0.117,0.08,1.494
2021,98,Ukraine,5.084,5.19,4.978,1.411,1.081,0.583,0.473,0.188,0.017,1.331
2021,16,United States of America,6.977,7.065,6.888,1.982,1.182,0.628,0.574,0.22,0.177,2.214
2022,49,Brazil,6.125,6.252,5.997,1.454,1.25,0.387,0.558,0.131,0.137,2.205
2022,64,China,5.818,5.905,5.731,1.51,1.249,0.468,0.666,0.115,0.145,1.666
2022,101,Iran,4.876,4.98,4.772,1.465,1.102,0.411,0.281,0.229,0.13,1.259
2022,4,Israel,7.473,7.535,7.411,1.833,1.521,0.577,0.569,0.124,0.158,2.691
2022,70,Russia,5.661,5.734,5.588,1.68,1.383,0.366,0.449,0.12,0.091,1.572
2022,92,Ukraine,5.071,5.187,4.956,1.358,1.354,0.355,0.551,0.265,0.016,1.172
2022,15,United States of America,6.894,6.986,6.802,1.98,1.46,0.39,0.557,0.21,0.172,2.124
2023,44,Brazil,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2.068
2023,60,China,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608
2023,100,Iran,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,1.057
2023,5,Israel,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298
2023,72,Russia,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451
2023,105,Ukraine,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,0.753
2023,23,United States of America,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873
2024,8,Israel,7.234,7.301,7.168,1.695,1.743,0.824,0.74,0.144,0.193,1.895
2024,24,United States of America,6.724,6.82,6.629,1.839,1.614,0.604,0.644,0.171,0.161,1.69
2024,36,Brazil,6.494,6.593,6.394,1.391,1.519,0.48,0.83,0.089,0.127,2.057
2024,66,Russia,5.945,6.026,5.865,1.63,1.549,0.47,0.702,0.095,0.125,1.373
2024,68,China,5.921,6.023,5.819,1.445,1.307,0.789,0.764,0.079,0.154,1.382
2024,99,Iran,5.093,5.193,4.994,1.33,1.367,0.609,0.456,0.202,0.122,1.007
2024,111,Ukraine,4.68,4.794,4.565,1.328,1.472,0.472,0.689,0.245,0.023,0.451
